material_id,formula,band_gap,density,energy_per_atom,formation_energy_per_atom,volume
mp-1183115,AcAlO3,4.1024,8.728230081866649,-8.232146192000002,-3.690019421500002,57.4514132376898
mp-1183052,AcBO3,0.8071,9.206878605801688,-7.604279514,-2.475389555333333,51.54812640786059
mp-866101,AcCrO3,2.0031,8.848788046728616,-8.862593228,-3.1389721295,61.36284504026082
mp-861502,AcFeO3,0.9887999999999992,8.889999465919495,-8.258555312000002,-2.771539465500001,61.79731063258672
mp-1183053,AcGaO3,2.895900000000001,9.31449500321555,-7.461883426,-3.063252617,61.455078293307366
mp-1183152,AcScO3,3.3847,7.569207408829243,-8.888565856,-3.8290604304999993,70.19180130743561
mp-568386,Ag10Te4Br3,0.9637,6.979004698072393,-3.065140897941176,-0.364350311960783,1740.52548358504
mp-568392,Ag10Te4Br3,0.8722000000000001,7.194733997305497,-3.067222241470587,-0.366431655490194,1688.3369880809976
mp-1105645,Ag3SBr,0.2964,5.967646430204268,-3.1663475685,-0.305716111999998,484.8055176451492
mp-1229116,Ag3SBr,0.3987,6.124830461748297,-3.200961334,-0.340329877499998,118.09093879361744
mp-36600,Ag3SBr,0.397699999999999,6.186513420416596,-3.196363588999999,-0.335732132499998,233.82701370779407
mp-1173025,Ag3SI,0.3398,6.4817422363222,-3.078653433,-0.240608760499998,247.258550725043
mp-22995,Ag3SI,0.5478000000000001,6.576090262229425,-3.098510538,-0.260465865499998,121.85555000145258
mp-558189,Ag3SI,0.6242999999999991,6.373934116559119,-3.04893323,-0.210888557499998,125.72032925181092
mp-632480,Ag3SI,0.167599999999999,6.49674279385352,-3.091646502,-0.253601829499998,123.3438233881282
mp-673825,Ag3SI,0.256999999999999,6.567474042525697,-3.080563733,-0.242519060499998,244.0308376019067
mp-674981,Ag3SI,0.262399999999999,6.475076465078784,-3.08810371,-0.250059037499998,123.7565455921474
mp-675879,Ag3SI,0.3216,6.4800331785069645,-3.089818992,-0.251774319499998,247.32376322424776
mp-676121,Ag3SI,0.373899999999999,5.912215314641317,-3.091394415,-0.253349742499998,271.07710159969986
mp-676561,Ag3SI,0.333,6.417371315030583,-3.08771653,-0.249671857499998,124.86936728848828
mp-1195808,Ag4Sn3S8,0.2293,5.344248886654139,-15.260513379833336,-0.331556197333336,1297.6990679139262
mp-1229161,Ag6P6O19,0.4276,4.348269776338285,-6.44588817,-1.814864740414746,434.2186789517419
mp-1178563,AgAsO3,0.2921,6.425733028349928,-5.741099904,-1.269711258833334,119.28055162319482
mp-558950,AgAsO3,0.5930000000000001,5.320519664379105,-5.71533458975,-1.243945944583333,1728.699514830734
mp-775767,AgAsO3,0.7378,5.030528133497361,-5.7038320395,-1.232443394333333,304.7254522248717
mp-776165,AgAuO3,0.2423,8.569172736555055,-4.548984380999999,-0.356843842333332,273.488677155319
mp-1178562,AgBrO3,2.383,5.067049942399514,-4.149789241999999,-0.285035796333332,77.26506831359747
mp-1178561,AgClO3,2.7117,4.134260284941861,-4.259784518,-0.352711819333332,76.84405818753127
mp-27941,AgClO3,2.3983,4.138469148530601,-4.314317366,-0.407244667333333,307.0636281159876
mp-775761,AgClO3,3.1001,4.366022674178715,-4.321017940000001,-0.413945241333333,291.05972332883755
mp-776199,AgClO3,3.113099999999999,4.111923887247284,-4.3039971470000005,-0.396924448333332,309.0459323760985
mp-1202188,AgIO3,1.806899999999999,6.370565024964008,-4.544292077,-0.7021254153333331,589.6520320460871
mp-27384,AgIO3,2.4375,5.999922075919814,-4.555235327,-0.713068665333332,626.0775664617084
mp-849271,AgIO3,1.9765,5.657596324183561,-4.5277654535,-0.685598791833332,331.9799078095097
mp-552185,AgNO3,1.853899999999999,4.509524594558627,-5.885683233000001,-0.6806635453333341,125.10450403344892
mp-638686,AgNO3,2.008899999999999,4.532948436087429,-5.8833038505,-0.678284162833332,497.832124749116
mp-669466,AgNO3,2.0027,4.20228013166999,-5.880653645000001,-0.6756339573333331,537.0054543267189
mp-8196,AgNO3,1.7204000000000002,4.21374420425511,-5.85451189,-0.649492202333333,66.94305711049056
mp-18702,AgPO3,2.0232,4.7408418269331225,-6.578507001500007,-1.958048157761911,523.544804128728
mp-775762,AgPO3,2.287,4.6879325281271225,-6.533062172999999,-1.912603329261903,264.7268375552521
mp-5470,AgPS3,1.3228,3.508777848132174,-11.124514234,-0.232501206282736,222.4638175390565
mp-540872,AgSbO3,0.094599999999999,6.786835394315514,-5.807639057,-1.444474670333332,271.7080679491053
mp-545999,AgSbO3,0.133299999999999,6.698918634552929,-5.790875897000001,-1.427711510333333,137.6369853909369
mp-860791,AgSbO3,0.287499999999999,6.420372777966916,-5.747215704666668,-1.384051318,430.8249683273084
mp-569052,AgSe3I,1.396399999999999,4.944996330259913,-3.141949276999999,-0.171012331739582,633.5274140517166
mp-570431,AgTe3I,1.0025,5.494464735067228,-2.9275422630000003,-0.168168668333332,746.5721189941695
